Well_ID,Date,Oil_Rate,Gas_Rate,GOR,Water_Cut,Pressure,Temperature,Choke_Position,Vibration,Motor_Current,Pump_Status
WELL-01,2026-04-01,384.86,492.42,1279.48,30.96,1845.38,80.33,48.4,1.14,46.87,0
WELL-01,2026-04-02,377.04,464.81,1232.78,32.55,1931.2,84.19,45.4,1.31,44.06,0
WELL-01,2026-04-03,405.62,528.6,1303.19,32.25,1892.44,84.4,49.8,1.1,44.57,0
WELL-01,2026-04-04,389.29,510.53,1311.43,32.3,1990.08,84.31,48.6,1.19,47.13,0
WELL-01,2026-04-05,395.82,473.68,1196.69,31.06,1847.84,80.59,46.3,1.14,45.65,0
WELL-01,2026-04-06,393.15,502.92,1279.2,33.31,1896.77,81.52,48.9,1.19,45.2,0
WELL-01,2026-04-07,375.13,474.71,1265.46,32.36,1952.66,85.1,49.5,1.12,46.16,0
WELL-01,2026-04-08,401.18,486.75,1213.28,31.18,1959.85,81.76,51.4,1.14,44.21,0
WELL-01,2026-04-09,402.48,491.6,1221.41,31.79,1889.08,84.73,46.1,1.27,46.25,0
WELL-01,2026-04-10,390.27,519.8,1331.91,31.02,1881.11,82.18,48.1,1.25,49.07,0
WELL-01,2026-04-11,372.02,443.09,1191.04,31.67,1848.03,84.12,47.1,1.11,47.55,0
WELL-01,2026-04-12,407.13,522.87,1284.28,32.62,1921.97,80.25,48.3,1.36,48.87,0
WELL-01,2026-04-13,378.84,497.63,1313.56,33.37,1939.13,82.45,46.2,1.11,46.47,0
WELL-01,2026-04-14,387.91,493.93,1273.31,32.36,1868.21,81.68,45.4,1.34,48.92,0
WELL-01,2026-04-15,398.07,471.47,1184.4,31.36,1923.55,80.2,51.3,1.31,47.01,0
WELL-01,2026-04-16,402.58,480.83,1194.38,33.34,1968.39,84.55,47.9,1.17,44.35,0
WELL-01,2026-04-17,371.18,453.37,1221.44,32.08,1957.48,82.55,50.9,1.3,44.75,0
WELL-01,2026-04-18,384.9,512.52,1331.55,31.32,1873.3,81.19,49.2,1.23,48.13,0
WELL-01,2026-04-19,385.48,468.81,1216.17,32.2,1920.2,81.87,45.9,1.11,45.29,0
WELL-01,2026-04-20,371.24,451.94,1217.36,30.55,1937.62,84.46,49.3,1.14,49.12,0
WELL-01,2026-04-21,376.8,491.07,1303.25,32.83,1861.1,82.54,45.7,1.35,47.24,0
WELL-01,2026-04-22,333.96,460.0,1377.39,34.79,1803.41,87.0,43.0,1.71,53.88,0
WELL-01,2026-04-23,305.09,407.0,1334.02,36.29,1687.35,87.31,42.4,2.72,61.6,0
WELL-01,2026-04-24,261.48,385.67,1474.91,37.02,1659.58,92.38,44.1,3.34,77.18,0
WELL-01,2026-04-25,239.01,339.24,1419.37,39.86,1552.34,95.16,37.0,4.73,81.75,0
